0,153
1,177
2,649
3,1150
4,1514
5,1598
6,1636
7,1518
8,1509
9,1482
10,1523
11,1559
12,1576
13,1508
14,1577
15,1656
16,1761
17,1972
18,2177
19,2339
20,2512
21,2606
22,2745
23,3064
24,3260
25,3496
26,3859
27,4111
28,4415
29,4680
30,4955
31,5314
32,5861
33,5705
34,5645
35,5793
36,5266
37,5077
38,4741
39,4637
40,4330
41,3987
42,3741
43,3430
44,3245
45,3000
46,2932
47,2803
48,2810
49,2731
50,2607
51,2483
52,2554
53,2498
54,2509
55,2360
56,2357
57,2395
58,2313
59,2252
60,2342
61,2262
62,2236
63,2165
64,2128
65,2080
66,1972
67,1918
68,1828
69,1911
70,1870
71,1742
72,1797
73,1842
74,1829
75,1951
76,1872
77,1785
78,1755
79,1717
80,1694
81,1661
82,1472
83,1402
84,1261
85,1260
86,1205
87,1111
88,1064
89,1111
90,1019
91,1006
92,1095
93,1060
94,1089
95,1085
96,1086
97,1141
98,1107
99,1109
100,1020
101,1047
102,986
103,982
104,902
105,885
106,865
107,767
108,810
109,800
110,707
111,802
112,747
113,822
114,771
115,746
116,771
117,845
118,862
119,864
120,846
121,807
122,857
123,803
124,769
125,738
126,676
127,685
128,637
129,584
130,554
131,576
132,565
133,562
134,562
135,558
136,620
137,633
138,661
139,674
140,745
141,750
142,775
143,834
144,809
145,783
146,788
147,746
148,722
149,615
150,583
151,565
152,517
153,428
154,424
155,392
156,341
157,302
158,286
159,273
160,268
161,258
162,246
163,241
164,227
165,212
166,210
167,198
168,206
169,203
170,177
171,181
172,175
173,188
174,165
175,170
176,165
177,139
178,143
179,163
180,138
181,173
182,167
183,151
184,159
185,159
186,143
187,163
188,132
189,159
190,144
191,153
192,134
193,157
194,137
195,136
196,127
197,133
198,118
199,142
200,139
201,126
202,105
203,121
204,121
205,116
206,129
207,129
208,123
209,127
210,101
211,96
212,102
213,122
214,109
215,124
216,139
217,115
218,102
219,101
220,129
221,121
222,120
223,125
224,111
225,113
226,117
227,116
228,117
229,135
230,118
231,167
232,148
233,153
234,193
235,168
236,199
237,211
238,213
239,207
240,234
241,232
242,243
243,252
244,258
245,266
246,231
247,250
248,285
249,230
250,260
251,227
252,218
253,202
254,167
255,206
256,180
257,137
258,149
259,142
260,113
261,121
262,112
263,107
264,92
265,92
266,89
267,79
268,104
269,77
270,95
271,85
272,78
273,79
274,72
275,80
276,64
277,71
278,77
279,79
280,80
281,75
282,72
283,67
284,51
285,66
286,71
287,76
288,66
289,76
290,69
291,79
292,67
293,77
294,83
295,78
296,61
297,65
298,70
299,70
300,69
301,77
302,76
303,71
304,69
305,67
306,79
307,84
308,74
309,70
310,68
311,71
312,68
313,69
314,66
315,58
316,67
317,73
318,61
319,72
320,55
321,63
322,68
323,75
324,70
325,68
326,62
327,75
328,50
329,60
330,60
331,58
332,47
333,56
334,47
335,64
336,49
337,51
338,54
339,60
340,49
341,55
342,48
343,53
344,70
345,54
346,43
347,53
348,59
349,51
350,46
351,50
352,50
353,56
354,45
355,64
356,60
357,63
358,55
359,59
360,52
361,39
362,53
363,49
364,51
365,53
366,37
367,53
368,36
369,54
370,45
371,60
372,36
373,40
374,49
375,38
376,39
377,35
378,43
379,46
380,38
381,42
382,44
383,39
384,45
385,46
386,58
387,44
388,42
389,49
390,39
391,43
392,37
393,38
394,40
395,33
396,34
397,36
398,37
399,33
400,48
401,44
402,29
403,31
404,41
405,42
406,28
407,51
408,30
409,36
410,36
411,36
412,42
413,36
414,28
415,39
416,43
417,30
418,42
419,35
420,41
421,32
422,35
423,47
424,25
425,29
426,40
427,49
428,47
429,49
430,59
431,37
432,55
433,44
434,40
435,44
436,40
437,46
438,61
439,43
440,54
441,43
442,47
443,40
444,61
445,50
446,37
447,48
448,54
449,57
450,56
451,47
452,58
453,39
454,54
455,36
456,43
457,37
458,43
459,33
460,29
461,40
462,32
463,39
464,32
465,38
466,32
467,33
468,35
469,28
470,38
471,26
472,29
473,31
474,34
475,34
476,32
477,36
478,36
