name,nenndurchmesser,dynamischerDruck,statischerDruck,zufluss,latitude,longitude,ortschaft
HY125,80,4.1,5.4,1073,47.9433954,16.8500072,ND
HY126,80,4,5.2,1075,47.9560922,16.824892,ND
HY127,80,4.1,5.3,1103,47.9551408,16.8228272,ND
HY128,80,4,5.1,1107,47.9562953,16.8231737,ND
HY128,80,4,5.1,1107,47.9578982,16.8403607,ND
HY130,80,4.3,5.5,1158,47.949124,16.8561461,ND
HY131,80,4.1,5.2,1136,47.9451702,16.8630977,ND
HY132,80,4.4,5.5,1224,47.9556614,16.8459264,ND
HY133,80,4.3,5.6,1127,47.960453,16.836097,ND
HY134,80,3.9,4.5,1351,47.9407556,16.8518981,ND
HY135,80,4.5,5.7,1214,47.9444123,16.8595354,ND
HY136,80,5.6,7.8,1225,47.9425796,16.8586028,ND
HY137,80,4.2,5.8,1028,47.9317368,16.83569,ND
HY138,80,4.4,5.6,1186,47.9713184,16.853216,ND
HY140,100,4.5,5.7,1214,47.9724003,16.8529345,ND
HY141,80,4.4,5.6,1186,47.9738748,16.8423912,ND
HY142,100,4.6,5.8,1242,47.9712827,16.8431745,ND
HY143,100,4.4,5.6,1186,47.971283,16.8445904,ND
HY144,100,4.3,5.5,1158,47.971348,16.845935,ND
HY145,100,4.5,5.7,1214,47.9712246,16.8472912,ND
HY146,100,4.6,5.8,1242,47.9711131,16.8485633,ND
HY147,100,4.4,5.6,1186,47.970991,16.8499183,ND
HY148,100,4.5,5.7,1214,47.9708689,16.8512653,ND
HY149,80,4.4,5.4,1268,47.9459208,16.8416911,ND
HY150,80,4.4,5.5,1224,47.9451487,16.8412535,ND
HY151,100,4.5,5.7,1214,47.9725788,16.8533011,ND
HY152,80,4.8,6,1298,47.9397079,16.8490667,ND
HY153,80,4.8,5.8,1390,47.9386581,16.8481144,ND
HY154,80,4.9,5.9,1421,47.9413601,16.8478499,ND
HY155,80,5.2,5.8,1868,47.9402235,16.8469298,ND
HY156,80,5,5.7,1676,47.9391476,16.8459676,ND
HY157,80,,,,47.9418518,16.851471,ND
HY158,80,,,,47.9433515,16.8523773,ND
HY159,80,,,,47.9421836,16.853552,ND
TL054-HY139,100,4.3,5.5,1158,47.9704156,16.8383428,ND
TL054-HY138,100,3,3.4,1155,47.9796313,16.8476765,ND
